epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,88754.6,1.39973,0.74027,0.79277,0.84388,0.78889,0.84498,0.50844,1.20764,0.62333,0.77908,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,91251.2,1.39951,0.73863,0.79385,0.84467,0.78939,0.84588,0.50941,1.20585,0.62164,0.77896,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,93612.3,1.39435,0.73455,0.79324,0.84436,0.79065,0.84655,0.51004,1.20441,0.62007,0.77884,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,95928.2,1.3916,0.73315,0.79261,0.8451,0.79093,0.84689,0.51079,1.20297,0.61892,0.77869,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,98335.6,1.39764,0.73549,0.79377,0.84583,0.7914,0.84756,0.51153,1.20159,0.6178,0.77856,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,100730,1.39782,0.73418,0.79314,0.84557,0.79241,0.8482,0.51213,1.20021,0.61687,0.77838,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,103136,1.39769,0.73398,0.79268,0.84635,0.79231,0.8487,0.51275,1.19931,0.61574,0.77828,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,105656,1.39352,0.73355,0.79323,0.8466,0.79295,0.8492,0.51331,1.19852,0.61506,0.77814,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,108116,1.39159,0.73156,0.79279,0.84701,0.79353,0.84969,0.51395,1.1977,0.61402,0.77802,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,110686,1.39312,0.73192,0.79361,0.84743,0.79406,0.85029,0.5147,1.19661,0.61305,0.77794,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,113259,1.38967,0.7289,0.79212,0.84855,0.79433,0.85096,0.51531,1.19539,0.61203,0.77787,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,115780,1.39136,0.73041,0.79268,0.84876,0.79535,0.85155,0.51595,1.19408,0.61065,0.77774,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,118383,1.39283,0.73021,0.79234,0.84933,0.79564,0.85178,0.51639,1.19324,0.6097,0.77766,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,120729,1.39155,0.72876,0.79113,0.84944,0.79663,0.85229,0.517,1.19231,0.60869,0.7776,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,123397,1.3872,0.7293,0.79182,0.84898,0.7973,0.85279,0.51766,1.19112,0.60797,0.77754,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,125899,1.38758,0.72706,0.79171,0.84905,0.79804,0.85342,0.51838,1.19005,0.60696,0.77743,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,128494,1.38994,0.72904,0.79201,0.85012,0.79848,0.85407,0.51923,1.18901,0.60605,0.77734,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,131128,1.38704,0.72755,0.79182,0.85048,0.7985,0.85455,0.51974,1.18796,0.60523,0.77729,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,133730,1.38913,0.72778,0.79176,0.85055,0.79882,0.85477,0.52018,1.18684,0.60459,0.77728,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,136251,1.38717,0.72674,0.79172,0.85027,0.79982,0.85541,0.5208,1.18575,0.60384,0.77722,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,138718,1.38893,0.72725,0.79121,0.85033,0.79969,0.85555,0.52135,1.18481,0.60316,0.77717,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,140753,1.38167,0.72274,0.79165,0.85025,0.80032,0.85602,0.52171,1.18398,0.60258,0.77708,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,142786,1.38221,0.72317,0.79142,0.84976,0.80085,0.85629,0.52169,1.18345,0.60231,0.77706,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,144946,1.37849,0.71922,0.79136,0.85064,0.80061,0.8563,0.52195,1.18263,0.60207,0.77698,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,147403,1.38272,0.72382,0.79076,0.8509,0.80108,0.85672,0.52242,1.18164,0.60154,0.77694,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,150073,1.38022,0.7218,0.79089,0.85105,0.80114,0.85699,0.52279,1.18106,0.60117,0.77688,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,152560,1.37926,0.72086,0.79082,0.85102,0.80152,0.85739,0.52315,1.18035,0.60077,0.77681,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,154699,1.3799,0.72065,0.79075,0.85099,0.80213,0.85765,0.52346,1.1797,0.6001,0.77676,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,156884,1.37842,0.721,0.7908,0.85164,0.80221,0.85787,0.52377,1.17886,0.59972,0.77666,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,159021,1.38135,0.72096,0.79054,0.85124,0.80288,0.85807,0.52416,1.17809,0.59942,0.7766,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,161217,1.37716,0.71922,0.79105,0.85132,0.80323,0.85836,0.52462,1.17744,0.59899,0.77654,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,163475,1.37472,0.71642,0.79099,0.85141,0.8033,0.8585,0.52487,1.17713,0.59867,0.77649,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,165816,1.3754,0.717,0.79158,0.85081,0.80405,0.85898,0.52513,1.17661,0.59806,0.77648,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,168270,1.37418,0.71756,0.78994,0.85145,0.804,0.8592,0.52534,1.17656,0.59764,0.77643,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,170627,1.37962,0.71988,0.79058,0.85145,0.8044,0.8593,0.5258,1.17619,0.5974,0.77633,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,172960,1.37489,0.71735,0.79009,0.85166,0.80446,0.85937,0.52593,1.17573,0.59718,0.77626,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,175435,1.37687,0.71625,0.79004,0.85124,0.80511,0.85971,0.5265,1.17496,0.59677,0.77622,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,178105,1.37129,0.71378,0.78971,0.85172,0.80536,0.85989,0.52676,1.17474,0.59662,0.77613,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,180580,1.37487,0.71638,0.78931,0.85141,0.80628,0.86022,0.52716,1.17422,0.59635,0.77608,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,183245,1.37026,0.71293,0.79038,0.85189,0.80601,0.86031,0.52726,1.17368,0.59594,0.776,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,185719,1.37098,0.71416,0.78994,0.85181,0.80624,0.86058,0.52762,1.17307,0.59518,0.77599,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,188191,1.37443,0.7158,0.78987,0.85177,0.80651,0.86078,0.52798,1.17265,0.59492,0.77593,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,190652,1.36935,0.71011,0.78994,0.85112,0.8073,0.86096,0.52846,1.17168,0.59424,0.77585,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,192896,1.37012,0.71168,0.79019,0.85224,0.80686,0.86148,0.52879,1.17082,0.59378,0.77576,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,195123,1.36446,0.70982,0.7899,0.85239,0.80707,0.86178,0.5289,1.16989,0.59283,0.77576,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,197395,1.36587,0.71025,0.78923,0.85263,0.80728,0.86195,0.52938,1.16922,0.59252,0.77568,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,199895,1.3678,0.71152,0.78969,0.8518,0.80831,0.86219,0.52956,1.16891,0.59177,0.77564,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,202413,1.36479,0.70954,0.78926,0.85188,0.80858,0.86235,0.52967,1.16823,0.59133,0.77558,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,204826,1.36928,0.70901,0.78985,0.85252,0.8087,0.8625,0.52982,1.16761,0.59069,0.77552,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,207368,1.36475,0.70706,0.78897,0.85259,0.80866,0.86246,0.52985,1.16744,0.59049,0.77546,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,209862,1.36527,0.70829,0.78974,0.85321,0.80772,0.86241,0.53008,1.16706,0.59037,0.77543,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,212349,1.36607,0.7067,0.78917,0.85276,0.80808,0.86255,0.53035,1.16673,0.58977,0.77538,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,214810,1.36717,0.70766,0.78834,0.85375,0.80755,0.86273,0.53081,1.16628,0.58925,0.77536,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,217284,1.3632,0.70583,0.78924,0.85309,0.80848,0.86305,0.53113,1.16603,0.58888,0.77529,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,219581,1.36347,0.70531,0.78924,0.85282,0.80894,0.86312,0.53124,1.16599,0.58874,0.77528,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,221920,1.36328,0.70639,0.78893,0.85363,0.80831,0.86338,0.53155,1.16543,0.58842,0.77523,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,224351,1.36219,0.70479,0.78877,0.85268,0.80932,0.86358,0.53193,1.16483,0.58824,0.77516,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,226884,1.35864,0.70526,0.78808,0.85313,0.8095,0.86403,0.53226,1.16417,0.58769,0.77508,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,229428,1.35395,0.70226,0.78909,0.85281,0.80922,0.86398,0.53247,1.1638,0.5872,0.77506,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,232035,1.35804,0.70221,0.78845,0.85266,0.80985,0.86412,0.53272,1.16353,0.58665,0.77501,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,234705,1.35984,0.70238,0.78835,0.8527,0.81039,0.86425,0.53306,1.16325,0.58633,0.77499,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,237379,1.35817,0.6992,0.78797,0.85345,0.80991,0.86447,0.53315,1.16282,0.58601,0.77496,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,240049,1.35657,0.69928,0.78787,0.85252,0.81093,0.8646,0.53333,1.16251,0.5855,0.77491,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,242641,1.35576,0.70074,0.78744,0.85181,0.81216,0.8649,0.53379,1.16186,0.58501,0.77485,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,245220,1.35483,0.70092,0.78849,0.8517,0.81251,0.86522,0.53382,1.16171,0.58472,0.77482,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,247769,1.35226,0.69798,0.78821,0.85343,0.81168,0.8655,0.53417,1.16132,0.5844,0.77479,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,250074,1.34786,0.69541,0.78809,0.85344,0.81211,0.86579,0.53414,1.16083,0.58398,0.77474,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,252382,1.35479,0.69611,0.78739,0.85319,0.81253,0.86602,0.53431,1.16045,0.58371,0.77466,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,254657,1.34976,0.69556,0.78801,0.85377,0.81247,0.86633,0.53488,1.15942,0.58315,0.77462,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
